axCG_mps2,ayCG_mps2,azCG_mps2,pitchAngle_rad,pitchRate_radps,rollAngle_rad,rollRate_radps,sideSlip_rad,vxCG_mps,vyCG_mps,yawAngle_rad,yawRate_radps
0.012158891196635957,0.17558018959382077,9.78,0.016580627893946133,0.00034906585039886593,-0.038397243543875255,0.0006981317007977319,0.0,0.009814637158723456,0.0026218917864086495,-3.4068826998929316,0.003490658503988659
0.007245096307990301,-0.966638761039938,9.44,0.016580627893946133,0.0029670597283903604,-0.038397243543875255,0.0008726646259971648,0.0,0.012436168551786437,-0.007028273158314464,-3.4068826998929316,-0.003839724354387525
0.00614863878728342,1.20557695087716,10.06,0.016580627893946133,0.0012217304763960308,-0.038397243543875255,-0.0005235987755982988,0.0,0.009814637158723456,0.0026218917864086495,-3.4068826998929316,0.005061454830783556
0.024373615274140663,-0.7668333729632176,10.48,0.016580627893946133,-0.003490658503988659,-0.038397243543875255,-0.00017453292519943296,0.0,0.01227036986990946,-0.007028273158314464,-3.4068826998929316,-0.0006981317007977319
0.004282209335992432,-0.7433342178103735,9.27,0.016580627893946133,0.00034906585039886593,-0.038397243543875255,0.005235987755982988,0.0,0.002621531393062981,-0.009650164944723113,-3.4068826998929316,-0.006108652381980154
0.03393736590815941,1.0303279618151016,9.92,0.016580627893946133,-0.00034906585039886593,-0.038397243543875255,-0.0054105206811824215,0.0,0.00964883847684648,0.0026218917864086495,-3.4068826998929316,0.0013962634015954637
-0.006501424457632628,-0.5550097760558562,9.23,0.016580627893946133,0.003665191429188092,-0.038397243543875255,-0.0054105206811824215,0.0,0.012436168551786437,-0.007028273158314464,-3.4068826998929316,-0.002617993877991494
0.005394307285937356,0.7566527970714289,10.6,0.016580627893946133,-0.0022689280275926286,-0.038397243543875255,0.0015707963267948964,0.0,0.00964883847684648,0.0026218917864086495,-3.4068826998929316,0.002617993877991494
0.012394383178069618,-0.1941470894781091,9.78,0.016580627893946133,-0.0019198621771937625,-0.038397243543875255,0.006108652381980154,0.0,0.00964883847684648,0.0026218917864086495,-3.4068826998929316,0.0013962634015954637
0.006060098017248128,-0.6691631546620027,9.38,0.016580627893946133,0.0010471975511965976,-0.038397243543875255,-0.002617993877991494,0.0,0.012436168551786437,-0.007028273158314464,-3.4068826998929316,-0.003665191429188092
-0.0015808736756977827,1.0976010181290696,9.59,0.016580627893946133,0.0020943951023931952,-0.038397243543875255,-0.00017453292519943296,0.0,0.009814637158723456,0.0026218917864086495,-3.4068826998929316,0.004537856055185257
0.0029077908120977835,-1.070451028795156,10.38,0.016580627893946133,-0.0020943951023931952,-0.038397243543875255,-0.0029670597283903604,0.0,0.01227036986990946,-0.007028273158314464,-3.4068826998929316,-0.0033161255787892262
-0.00594633071085798,0.39697714117036037,9.3,0.016580627893946133,0.0013962634015954637,-0.038397243543875255,0.005235987755982988,0.0,0.012436168551786437,-0.007028273158314464,-3.4068826998929316,-0.00017453292519943296
-0.0023163068551744093,0.35850674047338327,10.120000000000001,0.016580627893946133,-0.0010471975511965976,-0.038397243543875255,-0.0006981317007977319,0.0,0.00964883847684648,0.0026218917864086495,-3.4068826998929316,0.0024434609527920616
-0.007669939577646123,-0.9574610832629862,10.46,0.0164060949687467,-0.005934119456780721,-0.038397243543875255,-0.004537856055185257,0.0,0.0026215389401892434,-0.009650164944723113,-3.4068826998929316,-0.00471238898038469
-0.02220897750919377,1.2481505402506226,7.75,0.016580627893946133,0.00820304748437335,-0.038571776469074684,-0.0041887902047863905,0.0,0.00998043584060043,0.0026218917864086495,-3.4068826998929316,0.004886921905584123
0.02241801281707607,-1.0505247644736988,11.68,0.0164060949687467,-0.0054105206811824215,-0.038397243543875255,0.003141592653589793,0.0,0.012270405195075102,-0.007028273158314464,-3.4068826998929316,-0.0029670597283903604
-0.024004088306449258,1.656095611053147,8.26,0.016580627893946133,0.005585053606381855,-0.038397243543875255,0.003490658503988659,0.0,0.007193105765660474,0.012272056731131763,-3.4068826998929316,0.009250245035569947
-0.010144592060375525,-1.227634149983378,10.19,0.016580627893946133,0.0024434609527920616,-0.038397243543875255,-0.0027925268031909274,0.0,0.012436168551786437,-0.007028273158314464,-3.4068826998929316,0.00017453292519943296
0.0012944274334974126,0.089821990911088,10.93,0.016580627893946133,-0.005585053606381855,-0.038397243543875255,-0.00034906585039886593,0.0,0.00964883847684648,0.0026218917864086495,-3.4068826998929316,0.0006981317007977319
-0.022584771769700415,-0.5722606925425381,8.26,0.016580627893946133,0.0054105206811824215,-0.038397243543875255,0.002617993877991494,0.0,0.0027873300749399563,-0.009650164944723113,-3.4068826998929316,-0.0033161255787892262
0.020257553252134818,-0.29601636917624924,10.25,0.016580627893946133,0.0020943951023931952,-0.038397243543875255,0.0020943951023931952,0.0,0.0027873300749399563,-0.009650164944723113,-3.4068826998929316,-0.0054105206811824215
0.017306048782125303,0.8811708841312058,10.72,0.016580627893946133,-0.004363323129985824,-0.038397243543875255,0.0013962634015954637,0.0,0.00964883847684648,0.0026218917864086495,-3.4068826998929316,0.0006981317007977319
-0.0008467562265735085,0.15252390653860687,9.700000000000001,0.0164060949687467,-0.003665191429188092,-0.038397243543875255,-0.0029670597283903604,0.0,0.00964886625488586,0.0026218917864086495,-3.4068826998929316,0.0017453292519943296
-0.0043771286241432224,-0.17296300167186693,8.77,0.016580627893946133,0.003665191429188092,-0.038397243543875255,-0.0010471975511965976,0.0,0.009814637158723456,0.0026218917864086495,-3.4068826998929316,0.0010471975511965976
0.01228405487498305,-0.09117337071274732,10.38,0.016580627893946133,-0.00017453292519943296,-0.038397243543875255,0.00471238898038469,0.0,0.01227036986990946,-0.007028273158314464,-3.4068826998929316,-0.0
0.01372358406907121,-0.8241020013117285,10.55,0.0164060949687467,-0.005585053606381855,-0.038397243543875255,-0.005585053606381855,0.0,0.002623222945104696,-0.009649707191301983,-3.407057232818131,-0.006283185307179586
0.01041520449801161,1.2528883464656178,9.21,0.0164060949687467,-0.0012217304763960308,-0.038397243543875255,0.0022689280275926286,0.0,0.00964886625488586,0.0026218917864086495,-3.4068826998929316,0.003141592653589793
0.009210309411658457,0.5829747167769243,9.72,0.0164060949687467,-0.0006981317007977319,-0.038397243543875255,-0.00034906585039886593,0.0,0.00964886625488586,0.0026218917864086495,-3.4068826998929316,0.007155849933176752
-0.020217076387918104,-1.1303478097730382,9.08,0.0164060949687467,0.004537856055185257,-0.038397243543875255,0.0017453292519943296,0.0,0.012434458785088722,-0.007028273158314464,-3.4068826998929316,-0.0008726646259971648
0.020135851126132955,-0.8391086432599144,10.94,0.0164060949687467,-0.0033161255787892262,-0.038397243543875255,-0.0006981317007977319,0.0,0.0026215389401892434,-0.009650164944723113,-3.4068826998929316,-0.007155849933176752
-0.0007769880696376075,0.5395728949053247,9.11,0.0164060949687467,0.0015707963267948964,-0.038397243543875255,-0.003490658503988659,0.0,0.012435685098186107,-0.00702613117331912,-3.407057232818131,-0.0033161255787892262
0.005805402521159608,0.538374065427295,10.120000000000001,0.0164060949687467,-0.0008726646259971648,-0.038397243543875255,0.0013962634015954637,0.0,0.009648408563067791,0.002623576017982863,-3.407057232818131,0.0006981317007977319
